Guideline,Yes When Merged,Yes When Not Merged,% Yes When Merged,% Yes When Not Merged
Code of Conduct,290,300,1.57,1.94
Create Feature Branches,307,310,1.66,2.01
Document Your Changes,125,0,0.68,0.0
Engage in Code Reviews,2,0,0.01,0.0
Engage with Community,13,36,0.07,0.23
Follow Code Style Guidelines,61,111,0.33,0.72
Fork and Clone the Repository,183,106,0.99,0.69
Report Issues,0,1,0.0,0.01
Respect Project Maintainers,283,291,1.53,1.89
Review and Address Feedback,12,0,0.06,0.0
Sign Contributor License Agreement (CLA),79,75,0.43,0.49
Submit Pull Requests,312,310,1.69,2.01
Update Documentation,1,0,0.01,0.0
Use Clear and Descriptive Commit Messages,254,196,1.37,1.27
Write Automated Tests,154,52,0.83,0.34
