Guideline,Yes When Merged,Yes When Not Merged,% Yes When Merged,% Yes When Not Merged
Code of Conduct,6843,5280,37.02,34.21
Create Feature Branches,5510,3780,29.81,24.49
Document Your Changes,824,170,4.46,1.1
Engage in Code Reviews,57,86,0.31,0.56
Engage with Community,159,171,0.86,1.11
Follow Code Style Guidelines,735,738,3.98,4.78
Fork and Clone the Repository,1595,326,8.63,2.11
Report Issues,81,108,0.44,0.7
Respect Project Maintainers,4627,3044,25.03,19.72
Review and Address Feedback,175,112,0.95,0.73
Sign Contributor License Agreement (CLA),755,478,4.08,3.1
Submit Pull Requests,5608,3931,30.34,25.47
Update Documentation,334,131,1.81,0.85
Use Clear and Descriptive Commit Messages,4199,2625,22.72,17.01
Write Automated Tests,787,124,4.26,0.8
