Guideline,Yes When Merged,Yes When Not Merged,% Yes When Merged,% Yes When Not Merged
Code of Conduct,5419,4178,29.32,27.07
Create Feature Branches,4303,2745,23.28,17.79
Document Your Changes,205,328,1.11,2.13
Engage in Code Reviews,28,24,0.15,0.16
Engage with Community,30,25,0.16,0.16
Follow Code Style Guidelines,435,223,2.35,1.44
Fork and Clone the Repository,1758,220,9.51,1.43
Respect Project Maintainers,2703,1869,14.62,12.11
Review and Address Feedback,59,31,0.32,0.2
Sign Contributor License Agreement (CLA),531,405,2.87,2.62
Submit Pull Requests,4313,2745,23.33,17.79
Update Documentation,448,292,2.42,1.89
Use Clear and Descriptive Commit Messages,3595,2344,19.45,15.19
Write Automated Tests,126,145,0.68,0.94
